Vacancy,Link to a vacancy,Salary,Company,Short description,Location,Date from creation,Full description,Link to a company
Freelence Recruiter REMOTE WORK,https://ph.indeed.com/rc/clk?jk=2ec23175ed166ba7&fccid=c22f831a72f742b0&vjs=3,,TREC,TREC is looking for an experienced and motivated individual with recruitment background.The main objective is to attract new clients in addition to sorting…,Manila,30+ days ago,"TREC is looking for an experienced and motivated individual with recruitment background.The main objective is to attract new clients in addition to sorting talents from our current candidates’ pool, gain competitive advantage and fuel company’s growth.ResponsibilitiesDevelop and update job descriptions and job specificationsPerform job and task analysis to document job requirements and objectivesPrepare and post jobs to appropriate job boards/newspapers/colleges etcSource and attract candidates by using databases & social mediaScreen candidates resumes and job applicationsConduct interviews using various reliable personnel selection methods tofilter candidates within the set scheduleMonitor and apply HR best recruitment practicesProvide analytical and conclusive reports to the rest of the teamEstablish a strong rapport with the candidate during & after the selection processRequirementsProven recruiting experience minimum of 1 yearSolid ability to conduct different types of interviews (structured, competency based)Hands on experience with various selection processes (phone interviewing, reference checks)Familiarity with HR databases, applicant tracking systems and CMSExcellent communication and interpersonal skillsProfessiant in written and spoken English",https://ph.indeed.com/rc/clk?jk=2ec23175ed166ba7&from=vj&pos=bottom&sjdu=kREejwbDMkx22-K2gj7AzYDDplm6SwWjHcxyoDIphKk45USwd90yKJ_fFlZQsFYqkN0wkll9wDHc3mnStM4Hmg&astse=6e31cb40ef163202&assa=7636
Non-Voice Customer Service Representative (Davao),https://ph.indeed.com/rc/clk?jk=30ccef72c2d945b1&fccid=c29f5a14440ca376&vjs=3,,Full Potential Solutions,We are also currently in a fully remote work environment.Willing to work in shifting schedules/holidays.All hired during this time will require the ability to…,Davao City,30+ days ago,"Overview:Our mission is to create an environment where people thrive based on core values of Excellence, Accountability, Integrity and Grace. In short, we believe if we live by our core values and pay our people a premium, we will maintain our incredible culture as we attract and retain the best people. FPS is not for everyone. Those with a desire to serve, to problem-solve and to contribute with a sense of urgency, quality and collaboration will find FPS a unique and inviting workplace. We have grown globally from 0 to 800 employees in 3 years - creating a host of career opportunities for our people to thrive!We offer a comprehensive compensation and benefits package that includes health, dental, vision, generous PTO, a performance-based bonus, and opportunities for training and career development. We are also currently in a fully remote work environment.As a Non-Voice Customer Support Representative, you will communicate to the customers via non-voice-based communication (i.e. chat and/or equivalent platform) in English to support customer care, consumer qualification, sales, credit and collections and/or remote technical support for clients. You also need to ensure all customers will get the highest level of service by attending to their concerns and inquiries, resolving issues, through efficient method of written (i.e. chat) communication.You will perform back-office tasks to complete customer concerns and requests, address sales inquiries, probe and qualify customers efficiently and, collaborate and work effectively with other team members to achieve the best results for all customer-related requests.Responsibilities:Provide accurate and efficient chat support in real-time environmentResponsible for providing exceptional support and service to our growing portfolio of customersIdentify additional needs customers may have and help them in their buying decision to buy or upgrade products or servicesOpen and maintain customer accounts and informationAccurately and efficiently comprehend customer’s concerns and respond to them appropriately and timely, with virtually zero-to-minimal pauses in between chat responsesResolve customer issues with patience and understandingTake the extra mile to go above and beyond to ensure customer satisfactionQualifications:One (1) year experience working in a call center industry with chat support programsAverage to excellent typing speedAverage to excellent in spelling, grammar, and communication skillsAbility to multi-task (handling 5 or more chats concurrently / simultaneously)Ability to navigate 3 or more toolsWilling to work in shifting schedules/holidaysStay Safe, Stay Home. Amidst the E/M/G community quarantine in Luzon and Davao Region, the entire FPS Philippines Community is under work from home setup. All hired during this time will require the ability to work from home. The office-based setup will resume dependent on the organization's direction in the future.",https://ph.indeed.com/rc/clk?jk=30ccef72c2d945b1&from=vj&pos=bottom&sjdu=kREejwbDMkx22-K2gj7AzYDDplm6SwWjHcxyoDIphKmy7vLuOLisagEWPC126ytOkN0wkll9wDHc3mnStM4Hmg&astse=fb384adf56fb1f3b&assa=2344
Customer Loyalty Associate for Back Office - Manila, PHnew,https://ph.indeed.com/rc/clk?jk=2e444596f0609241&fccid=a49ce30e9b13c5d0&vjs=3,,Balsam International,"Must be willing and able to work mostly on the graveyard shift, shifting or a fixed schedule and amenable to changes in work schedules depending on business…",Manila,Today,"Company DescriptionBalsam Brands is a multi-brand e-Commerce retailer with roots in holiday and home décor. Based in Silicon Valley, the company operates market-leading website such as www.BalsamHill.com. strive for excellence in everything we do and have been honored to receive the following awards as a result:Forbes: America’s Best Small Companies (2016)Inc. 5000: America’s Fastest Growing Private Companies (2012, 2013, 2014, 2015)San Francisco Business Times: Fast 100 – Fastest Growing Bay Area Companies (2012, 2013, 2014, 2015)Silicon Valley Business Journal: 75 Fastest Growing Private Companies (2012, 2013, 2014, 2015)The company’s outward focus on building trusted consumer brands along with its internal focus on excellence and being a great place to work have propelled it to consistent, rapid growth.Job DescriptionBalsam Brands is looking for Customer Loyalty Associate for Back Office to join our seasonal Customer Success team in the Philippines. The CLA for Back Office will work closely with the entire CS team to deliver excellent customer experience by completing processes behind the scenes. Our ideal candidate is someone with excellent attention to detail, data entry skills, English written skills, strong analytic capabilities, and has a fast, proactive learner's attitude. Retail Customer Service experience is preferred.What you'll be doing:Deliver excellent customer experience across different brands by meeting various Service Level Agreements (SLAs) and Key Performance Indicators (KPIs).Effectively handle Back Office tasks such as refunds, approvals, and creating warranty orders while representing the brand and its values.Send email notifications to customers regarding any requests done from our back-end.Make reasonable decisions with case tasks based on the provided guidelines and the supervisor’s guidance.Communicate with CS teams across geographies and immediate support in resolving complex cases and tasks.Ensure that all replacement orders are created/updated on the back-end system, as required.Deliver tasks and projects assigned by the Team Leader and/or Supervisor.What you bring to the table:College level or Graduate of Senior High School.At least one (1) year of relevant work experience (Customer Service, Business Correspondence, Corporate Communications or Writing).A rational decision-maker, process-oriented, and understands that customers can make or break a business.Comfortable in learning and working through a task in various technology-based systems via electronic means such as Salesforce, Volusion, Slack, Zoom, email, chat, and online project management applications.Outstanding organizational, time management, and communication skills to prioritize daily work in a fast-paced environment.Exceptional attention to detail and proven data entry skills.Excellent written English is required, including grammatical accuracy.Strong analytical and problem solving and critical thinking skills.Basic knowledge in MS Office programs, particularly MS Excel, and shared Google documents.Secures the confidentiality and safety of all company files and information.Experience working remotely is a plus.Our must-haves:Must be residing within Metro Manila, Bulacan, Cavite, Laguna, Pampanga and Rizal areas only.Applications of past seasonal hires who relocated outside of our allowed areas will be evaluated based on their current location and their performance during their time in Balsam.Must be willing to attend virtual training starting on the 2nd week of October 2020.Must have a dedicated, functional laptop that meets the following specifications:For Windows users:OS Windows 7 – 64 bit or higherProcessor: Intel or AMD Dual Core with 2.0 GHZ up, Intel Core i3 or betterWorking MS Office 365 or any versionRAM/Memory: 4GB or higherStorage: 128 SSD or 250GB HDD or higherFor Mac users:Processor: Intel Core i3/i5/M seriesUpdated Mac OSWorking MS Office 365 or Apple built-in appsMemory: 4GB or higherStorage: 128GB or higher for SSD, 250GB+ for HDDMust have a dedicated back-up laptop or desktop for use, if primary laptop or desktop encounters issues.Must have a fast, reliable DSL, Fiber or Broadband connection (not mobile or broadband stick) as the primary internet connection with a minimum and dedicated actual speed of 5MBPS. Proof of subscription will be required.Must have a back-up internet connection of the same speed, if primary connection becomes spotty. (Pocket Wi-Fi and Mobile hotspot with at least 5 Mbps)Must have contingency plans in the event of any power outage or related circumstances.Must be willing and able to work mostly on the graveyard shift, shifting or a fixed schedule and amenable to changes in work schedules depending on business needs. Shift adjustment requests will not be accommodated.Must not have any planned trips or long vacations between October to December 2020, especially during the holidays.Note: Online assessments will also be part of the recruitment process.Status: This is a contractual, home-based job that requires a scheduled eight (8) hours of full-time, dedicated work daily, five days a week. Paid overtime may be required. If performance is up to standard, the contract will be effective from October to December 27, 2020.Location: Our corporate offices are based in Northern California with a Regional Operating Headquarters (ROHQ) in the Philippines. The Customer Loyalty Associate for Back Office – Office is a remote working position in Manila. Team members in the Philippines are ideally located within easy driving distance to Metro Manila for occasional team meetings and trainings. They have a great working environment at home with at least 5MBPS internet connection speed. Company executives visit the Philippines regularly so team members attend in-person meetings from time to time.QualificationsnullAdditional Informationnull",https://ph.indeed.com/rc/clk?jk=2e444596f0609241&from=vj&pos=bottom&sjdu=kREejwbDMkx22-K2gj7AzYDDplm6SwWjHcxyoDIphKmXJDR3OgHQUxQb1C0lhJ7_kN0wkll9wDHc3mnStM4Hmg&astse=39355f89e17b3a24&assa=8271
Remote Wordpress Developer | Work From Home,https://ph.indeed.com/rc/clk?jk=15631c08aa088be7&fccid=a226bd706711b86d&vjs=3,,NODA,"Must use GIT / SVN for all development work.A stable internet connection is a must.Due to the nature of the business, we will not be accepting applicants that…",Makati,13 days ago,"A stable internet connection is a must. Due to the nature of the business, we will not be accepting applicants that do not have a stable internet connection.Custom theme development, preferably using underscores.me (we don't use off the shelf/premium themes)Experience with CSS frameworks (bootstrap, foundation, etc.)Experience with Advanced Custom Fields (options pages, flexible content, content blocks)Must use GIT / SVN for all development workPage speed optimisationExtensive WooCommerce experience",https://ph.indeed.com/rc/clk?jk=15631c08aa088be7&from=vj&pos=bottom&sjdu=kREejwbDMkx22-K2gj7AzYDDplm6SwWjHcxyoDIphKk1rjY29V0D-Oj7oYeMiD9jkN0wkll9wDHc3mnStM4Hmg&astse=cb3af57f76135fe0&assa=2067
Executive Assistantnew,https://ph.indeed.com/rc/clk?jk=8e585e655c2d8279&fccid=dd616958bd9ddc12&vjs=3,,,Responsible for providing administrative support to the members of the team Home Office and remote.Multinational investor-owned healthcare services company…,Taguig,5 days ago,"Client Overview:Multinational investor-owned healthcare services company based in Dallas, Texas, United States.Client Industry:SHARED SERVICESJob Description and Qualification:ResponsibilitiesResponsible for providing administrative support to the members of the team Home Office and remote. This support is primarily focused in the areas of expense management, travel planning, calendar management, email correspondence and meeting planning.Position also requires development of Microsoft Excel and PowerPoint analysis and documents.Responsible for coordinating travel for department members as requested.Maintain online tools, company’s access and distribution lists for the team. Maintain numerous distribution lists.Responsible for maintaining agendas and meetings of department meetings, including follow up on action items generated from meeting.Qualifications:Candidate must possess at least a Bachelor's/College DegreeMinimum of 5 years of Executive, Level Administrative experience requiredStrong written and oral communication skillsComputer literate in Microsoft Office with high level of proficiency in Work, Outlook and ExcelAbility to Multi-TaskSalary:0.00",https://ph.indeed.com/rc/clk?jk=8e585e655c2d8279&from=vj&pos=bottom&sjdu=kREejwbDMkx22-K2gj7AzYDDplm6SwWjHcxyoDIphKlw_TL2pjECvPCZKQuQ7908kN0wkll9wDHc3mnStM4Hmg&astse=c0013fc8e02abd18&assa=5733
Recruiter - Philippines,https://ph.indeed.com/rc/clk?jk=71af076c6a06a616&fccid=66d394411dd2efad&vjs=3,,kraken,"This role is remote (work from home) based in the Philippines.We work in a remote environment, and will be looking for a recruiter who is self-motivated,…",Work from Home,19 days ago,"About the RoleBy joining Kraken, you’ll work on the bleeding edge of bitcoin and other digital currencies, and play an important role in helping shape the future of how the world sees and uses money. At Kraken, we constantly push ourselves to think differently and forge new paths in a rapidly growing industry fraught with unexplored territory, which is why Kraken has grown to be among the largest and most successful bitcoin exchanges in the world. If you’re truly interested in pushing the envelope by disrupting an industry that some say cannot be disrupted, then we just might have the job meant for you. Kraken is a place for dreamers and doers - to succeed here, we firmly believe you must possess each in spades.Our Recruiting team is having a blast while helping build the most sophisticated crypto-trading platform out there. We work in a remote environment, and will be looking for a recruiter who is self-motivated, personable, professional, and positive! We are committed to building our company, and providing ‘best in class’ experiences to our candidates. Help us continue to define and lead the industry!This role is remote (work from home) based in the Philippines.ResponsibilitiesProvide full-cycle recruiting on a variety of non-technical and technical rolesSource candidates using online toolsExplore creative ways to establish new candidate poolsWork closely with other Recruiters, our Recruiting Administrators, and Hiring Managers to develop in-depth understanding of assigned requisitionsPartner with Hiring Managers and the recruiting team to build tailored recruitment strategies for each assigned roleProvide regular reports to the recruiting and HR teamsPerform onboarding and offboarding tasks as requiredProvide appropriate support to our global HR team and complete ad-hoc HR projectsRequirementsSuperb English language skills3+ yrs of experience in Full Lifecycle Recruiting, additional experience in an HR or Generalist role is a major assetDemonstrated experience using ATS and HRIS systemsSolid ability to evaluate candidates, specifically those located in the APAC regionHands-on experience with online sourcing toolsExperience working at a tech startup and knowledge about cryptocurrencies preferredExperience working with recruiting agencies preferredExcellent communication, interpersonal and organizational skillsStrong decision-making skillsLocated and authorized to work in the Philippines, with no plans to relocateWe’re powered by people from around the world with their own unique backgrounds and experiences. We value all Krakenites and their talents, contributions, and perspectives.",https://ph.indeed.com/rc/clk?jk=71af076c6a06a616&from=vj&pos=bottom&sjdu=kREejwbDMkx22-K2gj7AzYDDplm6SwWjHcxyoDIphKmzfOk2amxfKZoFOEWsH5W5kN0wkll9wDHc3mnStM4Hmg&astse=5b18ae481046d726&assa=168
IT Remote Specialist I,https://ph.indeed.com/rc/clk?jk=6aff5eda7565d8cf&fccid=883ad2d1bdded271&vjs=3,,iQor,"Assures that procedures and work instructions are efficient and not redundant.3 or more years of work-related experience required, preferably in IT or Customer…",Clark Freeport Zone,26 days ago,"Additional Work Locations:We’re excited you’ve considered to Be More with iQor. From Customer Interactions to Product Support, we’ll help you reach, stretch and realize your potential. Grow More with your own customized career path. Learn More with award-winning training. Earn More with industry-leading compensation. And Care More in a culture that treats you like family and gives back to your community. A world of opportunity is waiting. Let’s get started!SummaryProvides second-tier support to end users for either PC, server or mainframe applications, and hardware. Handles problems that the first-tier of Service Desk support is unable to resolve. May interact with network services, software systems engineering, and or applications development to restore service and or identify and correct core problem. Simulates or recreates user problems to resolve operating difficulties. Recommends systems modifications to reduce user problems. Escalates more complex issues to senior level.ResponsibilitiesDemonstrates a commitment to customer service anticipates, meets and exceeds expectations by solving problems quickly and effectively, making customer issues a priority.Maintains timely status of Incidents, Requests and Alerts to ensure effective communication to the iQor user community.Ensures support activities are monitored, logged, tracked and resolved appropriately and in a timely manner.Utilizes Remote Connectivity Application to support users.Answers incoming Information technology calls in a timely manner, discusses problems with users, evaluates and prioritizes Incidents.Identifies, researches, isolates and resolves Information Technology Incidents and Service Requests.Escalates calls to the appropriate technical, professional and or service personnel for service, repair and followup.Utilizes call tracking system.Provide enduser training as required/assigned.Develops and maintains processes, procedures, and documentation.Participates in the exchange of ideas and information within the department.Asks questions encourage input from team members.Provides regular updates to appropriate managers.Identifies creative ways to reduce cost by streamlining processes and systems (i.e. modification of responsibilities or consolidation of tasks, elimination of nonvalue added processes, or complete reengineering of processes and systems).Assures that procedures and work instructions are efficient and not redundant.Offers new ideas and suggestions for improvement. Identifies and implements new practices and processes that are “best in field.""Confers with reporting manager on complex or unusual situations.Establishes new measurement systems if or where possible.Exchanges knowledge and information with other iQor facilities to ensure best practices are shared throughout the iQor organization.Ensures 100percent adherence to all company policies and procedures (i.e. Health, Safety and Quality).Maintains discretion and confidentiality in all areas pertaining to data and proprietary information, whether internal to iQor or customer specific.Interpret a variety of instructions furnished in written, oral, diagram or schedule form.Maintains discretion and confidentiality in all areas pertaining to the IT systems.Understand and embrace the business and IT strategic direction.Performs other duties as assigned.Requirements3 or more years of work-related experience required, preferably in IT or Customer Service.Bi-Lingual preferred.Education RequirementHigh school diploma, G.E.D., Trade/Vocational School certificate or equivalent required.Physical RequirementsThe physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Individual will be required to sit and/or remain stationary for extended periods of time. Individual will be required to type and/or operate a computer and other office productivity machinery for extended periods of time. The worker is required to have close visual acuity to perform activities such as: preparing and analyzing data and/or documents; transcribing; viewing a computer terminal and/or extensive reading. The person in this position may need to occasionally walk or otherwise traverse, stand, exert up to 10 lbs. of force to push, pull, lift or otherwise move objects, bend, reach, kneel, and/or twist for minimal periods of time. Employees should not attempt to lift, pull or push a load in excess of 50 lbs. without assistance. Care should always be taken when lifting, pushing or pulling in an awkward position.All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or status as a qualified individual with a disability or Vietnam era or other protected veteran.",https://ph.indeed.com/rc/clk?jk=6aff5eda7565d8cf&from=vj&pos=bottom&sjdu=kREejwbDMkx22-K2gj7AzYDDplm6SwWjHcxyoDIphKlgIiHv6pXnu3Gsq4_zC4lmkN0wkll9wDHc3mnStM4Hmg&astse=f97633d3375d28fb&assa=5066
Customer Loyalty Associate for Amazon - Manila, PHnew,https://ph.indeed.com/rc/clk?jk=7a0b94404107ced4&fccid=a49ce30e9b13c5d0&vjs=3,,Balsam International,"Must be willing and able to work mostly on the graveyard shift, shifting or a fixed schedule and amenable to changes in work schedules depending on business…",Manila,Today,"Company DescriptionBalsam Brands is a multi-brand e-Commerce retailer with roots in holiday and home décor. Based in Silicon Valley, the company operates market-leading website such as www.BalsamHill.com. strive for excellence in everything we do and have been honored to receive the following awards as a result:Forbes: America’s Best Small Companies (2016)Inc. 5000: America’s Fastest Growing Private Companies (2012, 2013, 2014, 2015)San Francisco Business Times: Fast 100 – Fastest Growing Bay Area Companies (2012, 2013, 2014, 2015)Silicon Valley Business Journal: 75 Fastest Growing Private Companies (2012, 2013, 2014, 2015)The company’s outward focus on building trusted consumer brands along with its internal focus on excellence and being a great place to work have propelled it to consistent, rapid growth.Job DescriptionBalsam Brands is looking for Customer Loyalty Associate (CLA) for Amazon to join our seasonal Customer Success team in the Philippines. The CLA - Amazon will closely work with the Customer Success team to ensure that customer concerns are address and resolved across several brands in a timely and delightful manner. Our ideal candidate is someone with excellent written English skills, strong customer service orientation, exemplary problem-solving skills, and a proactive learner's attitude. He/she will report to the Amazon Team Leader.What you'll be doing:Deliver excellent and delightful customer service through email support across different brands by meeting various Service Level Agreements (SLAs) and Key Performance Indicators (KPIs).Communicate with various colleagues and supervisor to ensure customer issues are resolved appropriately.Understand company policies and procedures and know when to escalate and de-escalate customer service related issues.Ensure that all cases are updated in a timely manner as required.Deliver tasks and projects as assigned.What you bring to the table:College level or graduate of senior high school.One (1) year of relevant work experience (Customer Service, business correspondence, corporate communications or writing).Excellent written English communication skills.Experience in customer service environments and/or Amazon is highly preferred.Strong analytical, problem-solving, and critical thinking skills.Comfortable in working remotely using CRM and online communication tools.Passion to provide delightful customer service.Self-motivated and able to prioritize daily work in a fast-paced environment.Positive attitude and a commitment to excellence.Proactive and professional communication with team members.Quick to learn new information and work with minimal supervision.Ability to take feedback constructively and incorporate in his/her work.Basic knowledge of MS Office programs, particularly MS Excel with the skill to present and understand information in various documents and spreadsheets.Experience working remotely is a plus.Our must-haves:Must be residing within Metro Manila, Bulacan, Cavite, Laguna, Pampanga, and Rizal areas only.Applications of past seasonal hires who relocated outside of our allowed areas will be evaluated based on their current location and their performance during their time in Balsam.Must be willing to attend virtual training on October 19, 2020.Must have a dedicated, functional laptop/desktop that meets the following specifications:For Windows users:OS Windows 7 – 64 bit or higherProcessor: Intel or AMD Dual Core with 2.0 GHZ up, Intel Core i3 or betterWorking MS Office 365 or any versionRAM/Memory: 4GB or higherStorage: 128 SSD or 250GB HDD or higherFor Mac users:Processor: Intel Core i3/i5/M seriesUpdated Mac OSWorking MS Office 365 or Apple built-in appsMemory: 4GB or higherStorage: 128GB or higher for SSD, 250GB+ for HDDMust have a back-up laptop or desktop for use, if primary laptop or desktop encounters issues.Must have a fast, reliable DSL, Fiber or Broadband connection (not mobile or broadband stick) as the primary internet connection with a minimum actual speed of 5MBPS. Proof of subscription will be required.Must have a back-up internet connection of the same speed, if primary connection becomes spotty. (Pocket Wi-Fi and Mobile hotspot with at least 5 Mbps)Must have contingency plans in the event of any power outage or related circumstances.Must be willing and able to work mostly on the graveyard shift, shifting or a fixed schedule and amenable to changes in work schedules depending on business needs. Shift adjustment requests will not be accommodated.Must not have any planned trips or long vacations between October to December 2020, especially during the holidays.Note: Online assessments will also be part of the recruitment process.Status: This is a contractual, home-based job that requires a scheduled eight (8) hours of full-time, dedicated work daily, five days a week. Paid overtime may be required. If performance is up to standard, the contract will be effective from October 19, to December 27, 2020.Location: Our corporate offices are based in Northern California with a Regional Operating Headquarters (ROHQ) in the Philippines. The Customer Loyalty Associate for Amazon is a remote working position in Manila. Team members in the Philippines are ideally located within easy driving distance to Metro Manila for occasional team meetings and trainings. They have a great working environment at home with at least 5MBPS internet connection speed. Company executives visit the Philippines regularly so team members attend in-person meetings from time to time.QualificationsnullAdditional Informationnull",https://ph.indeed.com/rc/clk?jk=7a0b94404107ced4&from=vj&pos=bottom&sjdu=kREejwbDMkx22-K2gj7AzYDDplm6SwWjHcxyoDIphKkEJD28b9IjmcQ6QYE1BgPWkN0wkll9wDHc3mnStM4Hmg&astse=48d2cc5ba309b7ae&assa=8905
Executive Assistantnew,https://ph.indeed.com/rc/clk?jk=2e560f5371a68243&fccid=85ec3875001f1130&vjs=3,,John Clements Consultants Inc,Responsible for providing administrative support to the members of the team Home Office and remote.Responsibilities * Responsible for providing administrative…,Philippines,5 days ago,"ResponsibilitiesResponsible for providing administrative support to the members of the team Home Office and remote. This support is primarily focused in the areas of expense management, travel planning, calendar management, email correspondence and meeting planning.Position also requires development of Microsoft Excel and PowerPoint analysis and documents.Responsible for coordinating travel for department members as requested.Maintain online tools, companys access and distribution lists for the team. Maintain numerous distribution lists.Responsible for maintaining agendas and meetings of department meetings, including follow up on action items generated from meeting.Qualifications:Candidate must possess at least a Bachelor's/College DegreeMinimum of 5 years of Executive, Level Administrative experience requiredStrong written and oral communication skillsComputer literate in Microsoft Office with high level of proficiency in Work, Outlook and ExcelAbility to Multi-TaskResponsibilities * Responsible for providing administrative support to the members of the team Home Office and remote. This support is primarily focused in the areas of expense management, travel planning, calendar management, email correspondence",https://ph.indeed.com/rc/clk?jk=2e560f5371a68243&from=vj&pos=bottom&sjdu=kREejwbDMkx22-K2gj7AzYDDplm6SwWjHcxyoDIphKmEcAuU7qCOyg0Ln_v09iIrkN0wkll9wDHc3mnStM4Hmg&astse=853c44c1dd8a1767&assa=3155
Technical Recruiternew,https://ph.indeed.com/rc/clk?jk=65cb5ceaf2f6b507&fccid=57e380414aa7a0c1&vjs=3,,C9 Digital,"We are currently seeking a Recruiter with HR experience to help us recruit, interview and hire top digital marketing talent and technical positions for work…",Philippines,Just posted,"Responsibilities and Duties:Take campaign briefings and create detailed job descriptions outlining the job responsibilities, qualifications, and market-based compensation packagesRecruit potential candidates using sources such as LinkedIn Recruiter, Facebook, Indeed, Job Street, and other relevant websites.Conduct detailed interviews and endorse qualified candidates to our Account Executives for final round interviewsConduct background checks and reference checks to ensure candidates are qualified to work for C9 DigitalDraft digital contracts for new freelancers to sign and onboard them into our payroll systemConduct any other miscellaneous HR related tasks that may be required during your engagement with C9 Digital.We are currently seeking a Recruiter with HR experience to help us recruit, interview and hire top digital marketing talent and technical positions for work-from-home (remote) positions throughout the Philippines.",https://ph.indeed.com/rc/clk?jk=65cb5ceaf2f6b507&from=vj&pos=bottom&sjdu=kREejwbDMkx22-K2gj7AzYDDplm6SwWjHcxyoDIphKnzwbokTmPQ7CVMuJkwl7stkN0wkll9wDHc3mnStM4Hmg&astse=e4d8f19d12ae9a79&assa=7366
